source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task,rev_task,Ad_Rob_Imp,Res_Decon,Direct_App
Web of Science,WOS:001464889100001,10.1016/j.conbuildmat.2025.141175,Article,Experimental and numerical study on sustainable post-fire repair of concrete structures using bacterial self-healing mechanisms,"Vedrtnam, Ajitanshu; Gunwant, Dheeraj; Kalauni, Kishor; Palou, Martin T.",2025,,"author_keywords=['Post-fire self-healing', 'Bacterial encapsulation', 'Concrete degradation', 'Numerical modeling', 'Fire resistance']",,CONSTRUCTION AND BUILDING MATERIALS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001464900500001,10.1016/j.isprsjprs.2025.03.017,Article,Simultaneous planning of standpoints and routing for laser scanning of buildings with network redundancy,"Knechtel, Julius; Dehbi, Youness; Klingbeil, Lasse; Haunert, Jan-Henrik",2025,,"author_keywords=['Laser scanning', 'Network survivability', 'Optimization', 'Redundancy', 'Mixed Integer Linear Programming', 'Route planning']",,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,wos_rob_be,wos_rob_be,0,1,0
Web of Science,WOS:001440369100080,10.1007/978-981-97-8309-0_80,Proceedings Paper,Assessing Thermal Resilience in Canadian Housing: A Comparative Study of a Housing Archetype Across Three Climate Zones,"Abuimara, Tareq; Abdeen, Ahmed; Aoul, Kheira A. Tabet",2025,,"author_keywords=['Thermal resilience', 'Housing', 'Thermal autonomy', 'Archetype']",,"MULTIPHYSICS AND MULTISCALE BUILDING PHYSICS, IBPC 2024, VOL 2",,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001447177300001,10.1177/23998083251324065,Article,Simulation to forecast crime patterns: Comparing space syntax and agent-based models in exploring pedestrian movement and visibility,"Mara, Federico; Altafini, Diego; Cutini, Valerio; Malleson, Nick",2025,,"author_keywords=['Agent-based modelling', 'space syntax', 'pedestrian movement', 'visibility', 'crime', 'risky places']",,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001444639200015,10.1061/JCEMD4.COENG-15847,Article,Vision-Guided Autonomous Block Loading in a Dual-Robot Collaborative Handling Framework,"Chen, Zhiyuan; Li, Tiemin; Qin, Lichang; Jiang, Yao",2025,,"author_keywords=['Material handling', 'Block loading', 'Computer vision', 'Coarse-to-fine localization']",,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,wos_rob_be,wos_rob_be,1,1,0
Web of Science,WOS:001439851400001,10.1016/j.jobe.2025.112196,Article,A study on achieving high tensile ductility in 3D-Printable engineered cementitious composites reinforced with 8 mm fibers,"Bakhshi, Amir; Zafar, Muhammad Saeed; Hojati, Maryam; May, Gerald",2025,,"author_keywords=['Engineered cementitious composites (ECC)', 'Ultra-high ductile', 'Additive manufacturing (AM)', 'Autonomous construction', 'Tensile strength', 'Ultra ductile ECC', 'Strain hardening', 'Pullout failure']",,JOURNAL OF BUILDING ENGINEERING,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001438407800001,10.36680/j.itcon.2025.005,Article,ADDITIVE MANUFACTURING IN CONSTRUCTION: STATE OF THE ART AND EMERGING TRENDS IN CIVIL ENGINEERING,"Gardan, Julien; Hedjazi, Lotfi; Attajer, Ali",2025,,"author_keywords=['KEYWORDS : additive manufacturing', 'construction', 'building', '3D printing', 'concrete.']",,JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001416103600017,10.1109/ICACIT62963.2024.10788600,Proceedings Paper,Enhancing Student Retention: Action Research on First-Year Pedagogical Strategies,"Dreifuss-Serrano, Cristina; Lopez-Vallejos, Vivian; Monge, Marco",2024,,"author_keywords=['first-year students', 'dropout', 'pedagogical strategies', 'case-study', 'building', 'quality assurance']",,"2024 INTERNATIONAL SYMPOSIUM ON ACCREDITATION OF ENGINEERING AND COMPUTING EDUCATION, ICACIT 2024",,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001427636500001,10.1016/j.addma.2025.104689,Article,Multimodal automated fabrication with concrete: Case study and structural performance of ribbed CFRP-reinforced concrete ceilings,"Engel, Sven; Hegger, Josef; Classen, Martin",2025,,"author_keywords=['Digital fabrication', 'Additive manufacturing of CFRP-reinforced', 'concrete', 'Automated reinforcement integration', 'Ribbed slabs', 'Experimental investigations']",,ADDITIVE MANUFACTURING,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001424590400001,10.1108/ECAM-08-2024-1091,Article,SLAM-IMU coupling-based construction personnel positioning in invalid scenario of satellite and aerial triangulation,"Gao, Yiling; Wang, Chen; Huang, Liping; Wang, Defa; Chen, Zhibin",2026,,"author_keywords=['Invalid scenario of satellite space-three positioning', 'Visual SLAM', 'IMU sensor', 'Multi-sensor coupling']",,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,,wos_rob_be,wos_rob_be,0,1,0
Web of Science,WOS:001422660800001,10.1108/IJM-04-2024-0234,Article,Motivating factors for professional women in construction career progression,"Muthambi, Langanani; Agumba, Justus Ngala; Adebowale, Oluseyi Julius",2025,,"author_keywords=['Career', 'Motivation', 'Self-determination theory', 'Sustainable development goals', 'Women in construction']",,INTERNATIONAL JOURNAL OF MANPOWER,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001423345100001,10.1016/j.buildenv.2025.112626,Article,Sensory design with scent: Exploring the impact of ambient smell on emotions and physiological responses in the office environment,"Kafaei, Mohsen; Latifi, Mehrnoush; Burry, Jane; Ciorciari, Joseph; Aminitabar, Amirhossein; Ji, Kaixin",2025,,"author_keywords=['Smell', 'Peppermint scent', 'Indoor Environmental Quality (IEQ)', 'Electroencephalography (EEG)', 'Physiological signals', 'Neuroarchitecture']",,BUILDING AND ENVIRONMENT,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001420427400001,10.1016/j.cities.2025.105740,Article,Assessing the impact of the built environment on independent living in the Naturally Occurring Retirement Communities (NORCs) in Australia: A Bayesian network analysis,"Jiaxuan, E.; Xia, Bo; Chen, Qing; Susilawati, Connie; Buys, Laurie",2025,,"author_keywords=['Built environment', 'Independent living', 'Bayesian network model', 'NORCs', 'Ageing in place', 'Older adults', 'Safety']",,CITIES,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001419264300001,10.3390/buildings15030410,Article,Automating Dataset Generation for Object Detection in the Construction Industry with AI and Robotic Process Automation (RPA),"Araya-Aliaga, Erik; Atencio, Edison; Lozano, Fidel; Lozano-Galant, Jose",2025,,"author_keywords=['robotic process automation', 'artificial intelligence', 'computer vision', 'convolutional neural networks', 'building construction site', 'dataset generation']",,BUILDINGS,,wos_rob_be,wos_rob_be,0,1,0
Web of Science,WOS:001416747700001,10.1016/j.autcon.2025.105968,Article,Autonomous cart docking for transportation robots in complex and dynamic construction environments,"Yang, Guang; Wang, Shuoyu; Okamura, Hajime; Yasui, Toshiaki; Ino, Shingo; Okuhata, Kazuo; Mizobuchi, Yoshinobu",2025,,"author_keywords=['Docking', 'Transportation robot', 'Construction site']",,AUTOMATION IN CONSTRUCTION,,wos_rob_be,wos_rob_be,1,1,0
Web of Science,WOS:001405809900001,10.1007/s10257-025-00699-1,Article,"Decentralized autonomous organization in built environments: applications, potential and limitations","Ly, Reachsak; Shojaei, Alireza",2025,,"author_keywords=['Blockchain', 'Decentralized autonomous organization', 'Smart contract', 'Construction industry', 'Built environment']",,INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001401559200001,10.1108/SASBE-09-2024-0370,Article,Optimizing urban block layouts and density distribution: a generative design framework for neighborhood performance,"Tabatabai, Ghazal Mavahebi; Tahsildoost, Mohammad; Ardekani, Amirreza; Zomorodian, Zahra Sadat",2025,,"author_keywords=['Urban density distribution', 'Urban layout', 'Generative design', 'Energy performance', 'Environmental performance', 'Decision-making framework']",,SMART AND SUSTAINABLE BUILT ENVIRONMENT,,wos_rob_be,wos_rob_be,0,0,0
